# Generated station-name index. Refresh with tools/update_youbike_station_index.py.
# generatedAt=2026-08-04T17:03:02+00:00 source=TDX rows=9409
YouBike2.0_(竹科)介壽路	HsinchuSciencePark
YouBike2.0_(竹科)創新三路	HsinchuSciencePark
YouBike2.0_(竹科)力行一路力行六路口	HsinchuSciencePark
YouBike2.0_(竹科)力行二路	HsinchuSciencePark
YouBike2.0_(竹科)力行六路	HsinchuSciencePark
YouBike2.0_(竹科)力行四路	HsinchuSciencePark
YouBike2.0_(竹科)同業公會	HsinchuSciencePark
YouBike2.0_(竹科)園二園三廣場	HsinchuSciencePark
YouBike2.0_(竹科)園區三路研新一路口	HsinchuSciencePark
YouBike2.0_(竹科)園區大門(東側)	HsinchuSciencePark
YouBike2.0_(竹科)園區大門(西側)	HsinchuSciencePark
YouBike2.0_(竹科)園區拖吊場	HsinchuSciencePark
YouBike2.0_(竹科)實驗中學	HsinchuSciencePark
YouBike2.0_(竹科)寶山路452巷	HsinchuSciencePark
YouBike2.0_(竹科)展業二路	HsinchuSciencePark
YouBike2.0_(竹科)工業東三路	HsinchuSciencePark
YouBike2.0_(竹科)工業東九路(東側)	HsinchuSciencePark
YouBike2.0_(竹科)工業東九路(西側)	HsinchuSciencePark
YouBike2.0_(竹科)工業東四路	HsinchuSciencePark
YouBike2.0_(竹科)旺園	HsinchuSciencePark
YouBike2.0_(竹科)湖濱三路	HsinchuSciencePark
YouBike2.0_(竹科)矽導研發中心	HsinchuSciencePark
YouBike2.0_(竹科)矽導研發中心停車場	HsinchuSciencePark
YouBike2.0_(竹科)研新四路	HsinchuSciencePark
YouBike2.0_(竹科)研發一路	HsinchuSciencePark
YouBike2.0_(竹科)研發二路停車場	HsinchuSciencePark
YouBike2.0_(竹科)研發四路公園	HsinchuSciencePark
YouBike2.0_(竹科)科技生活館	HsinchuSciencePark
YouBike2.0_(竹科)竹村三路(東側)	HsinchuSciencePark
YouBike2.0_(竹科)竹村三路(西側)	HsinchuSciencePark
YouBike2.0_(竹科)竹科X基地	HsinchuSciencePark
YouBike2.0_(竹科)竹科管理局	HsinchuSciencePark
YouBike2.0_(竹科)篤行幼兒園	HsinchuSciencePark
YouBike2.0_(竹科)篤行污水處理廠	HsinchuSciencePark
YouBike2.0_(竹科)聯合服務大樓	HsinchuSciencePark
YouBike2.0_(竹科)聯園	HsinchuSciencePark
YouBike2.0_(竹科)興業二路停車場	HsinchuSciencePark
YouBike2.0_(竹科)西區網球場	HsinchuSciencePark
YouBike2.0_(竹科)金山寺	HsinchuSciencePark
YouBike2.0_(竹科)陽明交通大學-新安路	HsinchuSciencePark
YouBike2.0_(竹科)雙園路停車場	HsinchuSciencePark
YouBike2.0_(竹科)靜心湖	HsinchuSciencePark
YouBike2.0_228國家紀念公園(自強街)	ChiayiCity
YouBike2.0_25號綠地公園	Kaohsiung
YouBike2.0_7-11東遊季門市	Taitung
YouBike2.0_823紀念公園	Taichung
YouBike2.0_823紀念公園(崇德九路)	Taichung
YouBike2.0_823紀念公園(崇德十路)	Taichung
YouBike2.0_921地震教育園區聯外停車場	Taichung
